Ticker,Total GHG
 9203,530632.8
 AA,6766676.0
 AAMRQ,53834.0
 ABT,271109.0
 ABX,255535.0
 ADM,11145390.0
 ADSW,1147544.0
 AEE,65460366.01
 AEP,112811778.5
 AES,21663442.0
 AGC,673388.0
 AGU,841955.0
 AIQUY,4341298.0
 AJINY,111819.0
 AKS,7723313.0
 ALB,272861.0
 ALDW,301774.0
 ALE,9559457.0
 ALJJ,23588.0
 ALSOY,170.0
 AMGN,26422.0
 AMID,747.16
 AMRC,44456.0
 ANDE,88463.0
 ANR,32155.0
 APA,21316.5
 APC,1456476.24
 APD,6380740.0
 APLP,189849.0
 AQN,366946.0
 ARKAY,141850.0
 ASGLY,94350.0
 ASH,327385.0
 ASR,125542.0
 AT,900734.0
 ATI,504167.0
 ATK,105059.0
 ATO,35045.0
 AVA,6268.0
 AVR,524975.0
 AWCMY,303399.60000000003
 AWI,127534.0
 AYE,8931964.260000002
 BA,126708.0
 BAESY,134847.0
 BAK,32586.0
 BASFY,3756522.0
 BAX,6695.0
 BAYRY,562543.0
 BBEPQ,36099.0
 BBG,128821.0
 BC,28253.0
 BCEI,24639.0
 BEP,14144.0
 BF.A,46217.0
 BG,302955.5
 BIIB,35794.0
 BIN,47300.0
 BIOF,358431.0
 BKH,3747798.4
 BKI,198407.0
 BMY,67160.0
 BP,21279234.86
 BRDCY,277963.0
 BRK.A,28265723.080000002
 BRY,1059736.0
 BUD,330167.0
 BZ,280197.0
 BZZUY,901377.0
 CAG,205225.0
 CAT,174734.0
 CBT,808433.0
 CCC,36335.0
 CE,831421.0
 CEG,13750934.0
 CENX,520387.0
 CF,10677640.0
 CHK,280560.0
 CHKMQ,271186.0
 CHMT,44023.0
 CKH,71421.5
 CLF,3186305.0700000003
 CLMT,32736.0
 CLW,431185.0
 CMC,393834.0
 CMP,51914.0
 CMS,12041515.5
 CNL,4077261.0
 CNP,589205.5
 CNQ,131188.0
 CNX,180081.0
 COP,26858118.88
 CPB,263689.0
 CPN,37813474.0
 CPO,1012486.0
 CRH,275607.5
 CRR,203570.0
 CRS,152937.0
 CSAR,113250.0
 CTB,26051.0
 CTTAY,59959.0
 CVA,1387808.0
 CVI,1234378.0
 CVX,16547925.72
 CWST,639677.0
 CX,5011222.0
 CY,3094.0
 CYT,398955.0
 CZR,73253.0
 D,51198826.0
 DAL,52304.0
 DAR,91276.0
 DCP,45372.0
 DD,424065.0
 DDAIF,46151.0
 DIS,288704.79
 DK,455729.0
 DLM,31307.0
 DNA,37691.0
 DOW,15340652.48
 DPM,138761.6
 DTE,33346515.5
 DUK,53148746.77
 DVN,908587.0
 DYN,28156001.0
 ED,3236885.0
 EDE,2616679.0
 EE,1711544.0
 EEP,712541.0
 EIX,33880404.0
 ELMYY,197300.0
 EMN,144348.0
 EOG,271.0
 EP,2339735.0
 EPD,993531.0
 EQ,1689360.0
 ERMAY,140946.0
 ETP,831877.0
 ETR,25522098.299999997
 EVKIF,436621.0
 EVRZF,286132.0
 EXC,5978882.0
 EXH,88045.0
 EXP,567410.0
 EXXON,1833245.0
 F,735276.0
 FBHS,64055.0
 FCAU,462184.0
 FCX,88581.0
 FE,59051890.37
 FF,149775.0
 FGT,79300.0
 FMC,1699224.0
 FME,48642.0
 FUJHY,39498.0
 FUJIY,31823.0
 FWLT,5.9399999999999995
 GAS,25551.0
 GDFZY,11326127.0
 GDI,102397.0
 GE,3906591.4
 GEF,111788.0
 GEN,17971637.5
 GEVO,39679.0
 GGB,996339.5
 GIS,55625.0
 GLNCY,164.0
 GLT,1688218.0
 GLW,210579.0
 GM,878524.0
 GPK,1339753.0
 GPOR,35254.0
 GPRE,380145.0
 GR,25033.0
 GSK,64491.0
 GSM,667472.79
 GTI,25689.0
 GXP,11141662.0
 HAL,79212.0
 HAYN,55875.0
 HE,4877469.0
 HES,6039058.56
 HFC,3829019.0
 HII,78582.0
 HMC,48295.0
 HMTAY,27551.0
 HON,5231832.0
 HRL,71153.0
 HSC,3910.0
 HSE,645144.5
 HUN,1424762.0
 HXL,55876.0
 HYMTF,31519.0
 IBE,1200834.0
 IBM,102926.0
 ICL,44269.0
 IDA,1475557.5
 IFF,29612.0
 IMYSF,321977.0
 INTC,102561.0
 IOSP,30953.0
 IP,6042024.0
 IPI,69925.0
 IPSU,303871.0
 ITW,26522.0
 JBSAY,842649.02
 JFEEF,83826.0
 JOY,66847.0
 K,128889.0
 KALU,39720.0
 KBSTY,35186.5
 KHC,45255.0
 KMB,1394625.0
 KMGB,1430.0
 KMI,651857.69
 KMP,163136.0
 KODK,1072279.0
 KOP,58207.0
 KRA,306361.0
 KRFT,36608.0
 KRO,142380.0
 KS,1025701.0
 L,1134121.0
 LAFGY,6361022.0
 LBY,90905.0
 LECO,28977.0
 LIN,1712009.65
 LLY,132874.0
 LMT,76558.0
 LNG,67457.0
 LNT,13925501.72
 LNXSF,150252.0
 LXU,1621669.0
 LYB,6710607.0
 LZ,165372.0
 MDU,148843.75
 MGDDY,297019.0
 MGEE,317324.05
 MGM,129747.0
 MGPI,71421.5
 MHK,126937.0
 MIC,22816.0
 MLM,1203827.0
 MMLP,29918.5
 MMM,398528.0
 MNK,47716.0
 MO,183880.0
 MON,487137.0
 MOS,1631834.0
 MPC,9252834.0
 MRO,192226.8
 MS,15265.6
 MT,21958221.529999997
 MTX,170290.0
 MU,33715.0
 MUR,1499196.0
 MWA,149551.0
 MWE,823052.0
 MWV,2171592.0
 MZDAF,23795.0
 NAV,27876.0
 NEE,40614768.0
 NEM,1412708.0
 NEU,43236.0
 NFG,236699.0
 NGG,2112734.0
 NI,16116942.0
 NOR,661651.0
 NOV,19683.0
 NP,202570.0
 NRG,9671964.0
 NRGYQ,97277.0
 NSANY,33957.0
 NSC,53297.0
 NSRE,178677.0
 NSRGY,200401.0
 NTI,794952.0
 NU,3322101.0
 NUE,3606745.71
 NVL,302618.4
 NVS,29552.0
 NWE,920116.25
 NX,71724.0
 OC,290846.0
 ODC,14192.0
 OGE,19317614.21
 OI,1038300.0
 OKE,1001671.5
 OLN,27173.0
 OTTR,2248635.95
 OXY,12281099.81
 PAA,145197.0
 PBF,2377588.0
 PBR,813474.0
 PCG,1881517.0
 PCP,154395.0
 PEG,15240733.0
 PEHO,85939.20000000001
 PEP,246318.0
 PFE,310674.0
 PHH,285307.44
 PKG,907003.0
 PNM,217457.0
 PNW,12257270.29
 POL,67396.0
 POM,219213.0
 POR,4932338.3
 PPG,3684642.75
 PPL,21240712.0
 PSD,1460706.0
 PSEC,61046.0
 PX,2258776.0
 PXD,371710.75
 QCOM,26940.0
 QEP,62656.0
 QUAD,55794.0
 RAI,53829.0
 RDSMY,503876.0
 RECSIQ,163436.0
 REX,79316.64
 RGP,265690.0
 RHHBY,58070.0
 RIO,1636820.0
 RKT,3218279.0
 RSG,15119224.61
 RTK,849507.0
 RYCEY,33090.0
 RYN,200822.0
 SABIC,1308916.5
 SAP,88169.0
 SCG,14653301.0
 SCHN,70575.0
 SCL,35182.0
 SCS,34870.0
 SD,868477.0
 SE,1394887.5
 SEB,36101.0
 SFD,52863.0
 SFY,56416.0
 SGOBY,174398.0
 SHEL,11284568.68
 SHWDY,242960.0
 SIM,135319.0
 SJI,41668.0
 SJM,31310.0
 SLCA,26985.0
 SNY,79982.0
 SO,98661099.75
 SON,28928.0
 SPR,91889.0
 SRE,5605865.0
 SSL,668672.0
 SSUMY,630506.5
 STLD,137547.0
 STO,16433.5
 STR,101376.0
 SUM,559242.13
 SUN,103964.0
 SUP,45098.0
 SVYSF,45154.0
 SWN,832946.0
 SXC,581093.0
 SXT,38426.0
 TAC,9904593.0
 TAP,471418.0
 TECK,146813.0
 TEG,102592.75
 TGI,27.0
 THS,95956.0
 TKR,441120.0
 TLM,48308.0
 TM,95770.0
 TOT,1808936.28
 TRGP,658495.0
 TRK,248799.0
 TROX,429785.0
 TRP,4014839.0
 TSN,198368.0
 TSO,6200678.0
 TTI,51237.0
 TWI,90495.0
 TXI,2404639.0
 TXN,49319.0
 TXT,28990.0
 UAL,113755.0
 UFS,1617824.0
 UGI,176402.0
 UL,25468.0
 UNS,777389.0
 USG,631488.0
 UTX,190112.0
 VALE,83826.0
 VIE,121059.0
 VIKS,46112.0
 VLO,21835713.0
 VMC,676830.0
 VQ,63708.0
 VRS,1661878.0
 VVC,4405962.0
 WCN,2466844.0
 WGL,27019.0
 WHR,29535.0
 WLK,1647626.0
 WLL,45320.0
 WLTGQ,172850.0
 WM,20918311.75
 WMB,2881213.9
 WNR,1762382.0
 WPP,618472.0
 WPZ,3423677.4
 WY,801508.0
 X,26867541.55
 XEC,29404.0
 XEL,36025439.0
 XIDEQ,139949.0
 XOM,27009242.0
 XRX,38415.0
 ZINCQ,1417445.0
