Total GHG,NAICS,lobby_amount,log_GHG,log_lobby_amount
9665558.4,33,3240000.0,16.08407944443416,14.991083887768513
58893386.0,22,3090000.0,17.89123935029622,14.943681648873929
112654854.5,22,14100663.0,18.53983931756693,16.461732375519528
19935187.0,55,11250.0,16.80799691924018,9.328123407632566
9559457.0,22,45000.0,16.07304148425127,10.714417768752456
698784.0,32,170000.0,13.457096960586094,12.043553716032399
1456476.24,21,7083370.0,14.191530542169266,15.77326034112378
126708.0,33,27736000.0,11.749640505594515,17.138241766346997
263451.5,31,1440000.0,12.481624569301237,14.180153671552183
21162663.36,32,11670000.0,16.86774902470856,16.27253200426274
93254.0,31,560000.0,11.443082232028438,13.235692062711331
223331.0,33,3533250.0,12.316410254883268,15.077728685230397
3186305.0700000003,21,50000.0,14.974372518163745,10.819778284410283
12041515.5,22,2170000.0,16.303870862016744,14.590237725516642
507942.0,22,1491101.0,13.138122546814014,14.215025331224606
263689.0,31,110000.0,12.482525657402304,11.608235644774552
74227510.0,22,1520000.0,18.122645394142044,14.234220892822458
24779061.44,32,18000000.0,17.025509557741753,16.70588231586044
52304.0,48,3277906.0,10.864828128963993,15.002715361852783
135294.0,33,1600000.0,11.815205467277567,14.28551418721001
32089982.0,22,1960000.0,17.284054452163478,14.4884550312067
53133731.77,22,9590746.0,17.788322534432194,16.076309233198106
908587.0,21,3120000.0,13.719645924478911,14.953343559785665
88105792.0,22,3254000.0,18.294048832218728,14.99539556676112
13426412.0,32,540000.0,16.41273436973725,13.199324418540456
50431006.1,22,5690000.0,17.736116744280235,15.554220806102514
5978882.0,22,5861797.0,15.603744151926527,15.583966769834175
3296048.0,33,1827000.0,15.008234733012255,14.418185835360143
25551.0,22,240000.0,10.14843173380919,12.388394202324129
647533.0,33,480000.0,13.380925036508112,13.081541382884074
255535.0,21,689000.0,12.4511146655455,13.442996549995796
11141662.0,22,485000.0,16.226201973435916,13.091904169919621
79212.0,21,575000.0,11.279883081476772,13.262125319779487
5231832.0,33,8500000.0,15.470272061511888,15.955576721460545
71153.0,31,358669.0,11.172587767070425,12.790155236590804
1475557.5,22,120000.0,14.204546442446558,11.695247021764184
1305296.0,32,380000.0,14.081940392942553,12.84792653170257
76558.0,33,16240000.0,11.245803902483631,16.602987892697804
2886695.15,22,180000.0,14.87562285902737,12.100712129872347
183880.0,31,2670000.0,12.122038649920164,14.797589030376432
192226.8,21,9610000.0,12.166431203883072,16.078314780946474
33715.0,33,1060000.0,10.425698121168683,13.87377946608825
1499196.0,32,230000.0,14.220439522373088,12.345834587905333
27876.0,33,408000.0,10.23552138255841,12.9190224533863
16116942.0,22,910000.0,16.59538157481376,13.721199878493033
53297.0,48,9943571.0,10.88363532339163,16.11243676964914
7044186.42,33,2040000.0,15.7677132133247,14.528460365820399
12125054.81,21,3984636.0,16.310784515189976,15.197956523499965
1881517.0,22,49660000.0,14.447588924318952,17.720710338044295
15240733.0,22,4950000.0,16.539482204179006,15.414898134544874
394682.0,31,6477500.0,12.885835656354635,15.683845191418403
1321404.0,32,6170891.0,14.094205365665818,15.635353793883555
12257270.29,22,1120000.0,16.32162981196888,13.928839243271277
11348978.25,32,1536984.0,16.244638275813028,14.245332612577155
14653301.0,22,1300000.0,16.500176192277742,14.077874822431765
1822819.0,21,100000.0,14.415894761841788,11.512925464970229
1377740.0,22,1570000.0,14.13595503350829,14.266586177324491
441120.0,33,712149.0,12.997072226257623,13.476042438163192
981230.0,31,1268651.0,13.796562165705431,14.05346468917112
777389.0,22,150000.0,13.563696147570283,11.918390573078392
526383.0,21,190000.0,13.173784363638928,12.154779351142624
4405962.0,22,150000.0,15.29846918170442,11.918390573078392
19260759.16,22,60000.0,16.77358037996451,11.002099841204238
558064.0,11,3730000.0,13.232228930126942,15.131918791619999
36025439.0,22,2580000.0,17.39973588575757,14.7632999568978
42228500.0,32,23820000.0,17.55860590650661,16.986036121891427
